datetime,hour_of_day,day_of_week,month,quarter,london_session,ny_session,asian_session,direction,ofl_probability,risk_pips,rr_to_erl,rr_to_erl_capped,range_size_pips,position_in_range,distance_from_eq_pips,erl_distance_pips,fvg_size_pips,avg_candle_body_pips,avg_range_pips,directional_momentum,volatility_ratio,dist_to_equilibrium,is_in_discount,win,rr_achieved,momentum_class
2026-02-12 16:10:00,16,3,2,1,0,1,0,1,2,33202.000000001135,37.05108126016401,10.0,122770.00000000044,-8.301702370285877,1080585.000000001,1230170.0000000075,5470.000000004802,47177.00000000059,72688.000000001,0,11.529249843340535,1080585.000000001,1,0,-1.0,0
2026-02-12 16:10:00,16,3,2,1,0,1,0,1,2,142802.0000000015,7.0979398047646045,7.0979398047646045,122770.00000000044,-6.537672069723844,864014.9999999994,1013600.0000000058,63600.00000000582,47177.00000000059,72688.000000001,0,11.529249843340535,864014.9999999994,1,0,-1.0,0
2026-02-12 16:10:00,16,3,2,1,0,1,0,1,2,31202.000000002954,22.649189154539254,10.0,122770.00000000044,-4.03787570253313,557114.9999999943,706700.0000000007,51599.999999998545,47177.00000000059,72688.000000001,0,11.529249843340535,557114.9999999943,1,0,-1.0,0
2026-02-12 16:15:00,16,3,2,1,0,1,0,1,2,89502.00000000223,15.43429197112879,10.0,122770.00000000044,-9.53351796041372,1231814.999999997,1381400.0000000033,17229.999999999563,143024.00000000125,170868.0000000004,0,3.918198874267019,1231814.999999997,1,0,-1.0,0
2026-02-12 16:15:00,16,3,2,1,0,1,0,1,2,53102.00000000805,26.014086098448153,10.0,122770.00000000044,-9.53351796041372,1231814.999999997,1381400.0000000033,17229.999999999563,143024.00000000125,170868.0000000004,0,3.918198874267019,1231814.999999997,1,0,-1.0,0
2026-02-12 16:20:00,16,3,2,1,0,1,0,1,2,18397.99999999741,95.50331557779381,10.0,122770.00000000044,-12.593467459476999,1607484.999999997,1757070.0000000033,168299.99999999927,156617.0000000002,219007.99999999983,-2,1.8750489875775753,1607484.999999997,1,0,-1.0,0
2026-02-12 16:20:00,16,3,2,1,0,1,0,1,2,136332.00000000215,12.888170055452685,10.0,122770.00000000044,-12.593467459476999,1607484.999999997,1757070.0000000033,168299.99999999927,156617.0000000002,219007.99999999983,-2,1.8750489875775753,1607484.999999997,1,0,-1.0,0
2026-02-13 07:40:00,7,4,2,1,0,0,1,1,2,67662.00000000936,3.8780999674848733,3.8780999674848733,185360.00000000058,0.36501942166597484,25019.99999999498,262399.9999999978,18630.000000002838,60450.00000000073,104239.0000000014,2,1.229302033103895,25019.99999999498,1,0,-1.0,0
2026-02-13 08:10:00,8,4,2,1,0,0,1,0,2,85402.00000000368,5.145078569588265,5.145078569588265,133000.0000000018,1.5165413533834433,135199.99999999529,439399.999999996,24300.00000000291,58183.99999999929,92512.00000000154,4,1.1277538474074411,135199.99999999529,0,1,5.145078569588265,2
2026-02-13 09:45:00,9,4,2,1,0,0,1,0,2,67502.00000000405,4.599863707741609,4.599863707741609,204300.0000000029,0.7058247674987698,42049.99999999927,310499.9999999927,39899.99999999782,36808.00000000181,72046.99999999958,-2,0.9460259591525885,42049.99999999927,0,1,4.599863707741609,1
